,name,year,avg_fant_pt
0,Matthew Stafford,2009,12.3480001449585
1,Chad Henne,2011,14.9800001829863
2,Kellen Clemens,2009,0.509999986737967
3,Peyton Manning,2015,9.13600006103516
4,Paxton Lynch,2016,9.46000003814697
5,Kyle Orton,2010,16.1476922677113
6,Zach Mettenberger,2015,6.02857143538339
7,Charlie Whitehurst,2010,5.42999998231729
8,Blaine Gabbert,2015,16.2175000905991
9,Shaun Hill,2014,9.92000008953942
10,Teddy Bridgewater,2014,13.5123075705308
11,Tyrod Taylor,2012,2.63714272209576
12,Ben Roethlisberger,2013,16.1774998605251
13,Chase Daniel,2018,5.93999995887279
14,Matt Hasselbeck,2015,11.3874998092651
15,Gardner Minshew,2019,15.945714201246
16,Donovan McNabb,2010,13.3984617086557
17,Charlie Batch,2010,7.69333362579346
18,Carson Palmer,2013,13.5787498801947
19,Marc Bulger,2009,7.44000011020237
20,A.J. McCarron,2019,8.44999980926514
21,Tyrod Taylor,2018,10.354999884963
22,Jon Kitna,2010,15.3299997806549
23,Joe Flacco,2011,12.649999961257
24,Tony Romo,2011,17.2474998235703
25,Philip Rivers,2017,16.8999999463558
26,Drew Brees,2015,20.2799999237061
27,Patrick Mahomes,2019,20.3600002697536
28,Alex Smith,2010,12.0727271816947
29,Kyle Orton,2013,6.90666695435842
30,Tim Tebow,2011,14.2257140975978
31,EJ Manuel,2013,12.9480000257492
32,Josh McCown,2017,15.8030767440796
33,Tyrod Taylor,2019,0.752499995753169
34,Matt Schaub,2015,13.2999997138977
35,Russell Wilson,2017,21.4950003027916
36,Daunte Culpepper,2009,5.8624999653548
37,Aaron Rodgers,2016,23.5137501358986
38,Brock Osweiler,2018,9.42571428843907
39,Mike Glennon,2014,14.9299999872843
40,Eli Manning,2016,14.0112500190735
41,Josh McCown,2015,16.0199998319149
42,Josh Johnson,2009,6.70000012715658
43,Ben Roethlisberger,2018,20.803750038147
44,Robert Griffin,2013,16.0938459909879
45,Andrew Luck,2013,17.7862499654293
46,Matt Cassel,2016,3.91499996744096
47,Kevin Hogan,2016,4.16499990411103
48,Charlie Whitehurst,2015,0.819999980926514
49,Case Keenum,2013,12.9500000476837
50,Tony Romo,2013,17.261333211263
51,Colt McCoy,2010,11.2424999177456
52,Ryan Tannehill,2013,14.8949999958277
53,Brett Hundley,2019,2.02000002066294
54,A.J. Feeley,2011,3.66399995088577
55,Ryan Fitzpatrick,2016,9.5285713906799
56,Carson Wentz,2017,21.0569229859572
57,Carson Wentz,2018,17.3327273292975
58,Charlie Batch,2012,5.0
59,Tony Romo,2015,10.1649997830391
60,J.T. O'Sullivan,2009,-0.400000015894572
61,Tom Brady,2017,18.2425001263618
62,Matt Schaub,2012,13.9262502193451
63,Marcus Mariota,2016,17.3293333689372
64,Peyton Manning,2012,19.3099999427795
65,Kirk Cousins,2014,14.7333331108093
66,Sam Bradford,2013,16.682857309069
67,Tom Brady,2010,18.6874999403954
68,Matt Hasselbeck,2011,11.8774998933077
69,Jeff Driskel,2019,19.033332824707
70,Matt Hasselbeck,2012,9.31000005453825
71,Kirk Cousins,2019,16.1613333702087
72,Matt Schaub,2019,5.14999990413586
73,Jimmy Garoppolo,2016,5.83000018199285
74,Michael Vick,2009,2.41166667391857
75,Eli Manning,2018,14.6225000023842
76,Mitchell Trubisky,2018,18.2157141481127
77,Matt Ryan,2019,17.6893333435059
78,B.J. Daniels,2015,0.33500000834465
79,Matt McGloin,2016,0.566666662693024
80,Jimmy Garoppolo,2018,15.3399998346965
81,Rex Grossman,2010,11.990000192076
82,Kyle Boller,2011,2.12000003457069
83,Nick Foles,2016,9.33333333333333
84,T.J. Yates,2017,8.50500011444092
85,Brian Brohm,2009,0.770000010728836
86,Jared Goff,2016,6.64500004053116
87,Marcus Mariota,2018,12.4942856601306
88,Tony Romo,2014,17.7533331076304
89,Carson Palmer,2011,13.6120000481606
90,Kellen Clemens,2011,12.5133334795634
91,Josh Allen,2019,17.7850001575425
92,Marcus Mariota,2015,17.0016665657361
93,Jay Cutler,2013,14.7854546742006
94,Michael Vick,2011,17.924615419828
95,Joe Flacco,2012,14.5550000295043
96,Shaun Hill,2010,12.13384610873
97,Blake Bortles,2017,15.2299999594688
98,Drew Brees,2018,20.1320001920064
99,Ryan Mallett,2014,6.60000019023816
100,Zach Mettenberger,2014,10.125714302063
101,Ryan Tannehill,2019,18.6816669541101
102,Andy Dalton,2014,13.9137501567602
103,JaMarcus Russell,2009,2.82333335280418
104,Tom Brady,2009,16.7699999213219
105,Tom Brady,2014,17.3787499070168
106,Matt Ryan,2018,21.8724999725819
107,Tarvaris Jackson,2013,4.03499991074204
108,Colt McCoy,2011,12.3092308411231
109,Cam Newton,2018,19.8999998910087
110,Seneca Wallace,2013,1.18666664759318
111,Carson Palmer,2016,16.0746667544047
112,Eli Manning,2014,16.843749910593
113,Aaron Rodgers,2012,21.3500000238419
114,Mike Glennon,2013,12.155384687277
115,Matt Barkley,2013,0.599999984105428
116,Joe Flacco,2015,15.9939997851849
117,Colt McCoy,2014,12.5759997367859
118,Colin Kaepernick,2014,15.6662499904633
119,Matt Flynn,2011,8.82400013804436
120,Pat White,2009,0.623076928349642
121,Joe Webb,2017,0.299999997019768
122,Dan Orlovsky,2015,3.34666678309441
123,Brandon Weeden,2013,10.9550000336021
124,Tom Brady,2011,22.8937501311302
125,Nathan Peterman,2017,2.59500002861023
126,Ryan Tannehill,2016,14.4769229338719
127,Jake Delhomme,2010,5.33600012212992
128,Marcus Mariota,2017,14.0319999694824
129,Jon Kitna,2011,1.09333333869775
130,Sam Bradford,2016,14.7253332773844
131,Alex Smith,2013,16.8813333193461
132,DeShone Kizer,2018,1.79333341866732
133,Cody Kessler,2016,8.33333330021964
134,Kirk Cousins,2018,17.2575000226498
135,Ryan Fitzpatrick,2012,13.3562500029802
136,Marcus Mariota,2019,12.1457143255642
137,Mitchell Trubisky,2017,11.2099999984105
138,Jay Cutler,2011,13.6259999990463
139,Joe Flacco,2016,14.6550000011921
140,Jimmy Clausen,2014,3.95500008761883
141,Ryan Nassib,2014,0.525000020861626
142,Tarvaris Jackson,2009,1.37999998964369
143,Cam Newton,2016,16.6973333358765
144,Alex Smith,2018,13.8
145,Trent Edwards,2009,8.41999998223037
146,Trevor Siemian,2016,13.5671428952898
147,Aaron Rodgers,2018,19.2862500548363
148,Mark Brunell,2010,5.33999980986118
149,Matthew Stafford,2012,17.0987499207258
150,Matt Hasselbeck,2013,1.0
151,Ryan Mallett,2017,4.97000002861023
152,Terrelle Pryor,2013,13.0472727797248
153,Matt Moore,2017,10.335000038147
154,Vince Young,2009,11.4383333623409
155,Tom Brady,2016,21.3799998760223
156,Mark Sanchez,2015,6.56799993515015
157,Peyton Manning,2013,25.6237498521805
158,Aaron Rodgers,2013,18.8266669909159
159,Andy Dalton,2017,13.1687499880791
160,Kyle Allen,2018,13.2700002193451
161,Kerry Collins,2010,10.7020002126694
162,Philip Rivers,2012,13.0149998366833
163,Todd Collins,2009,1.91999998688698
164,Terrelle Pryor,2012,8.49999984105428
165,Drew Stanton,2009,1.8866666952769
166,Matthew Stafford,2017,16.9775000214577
167,Ryan Fitzpatrick,2018,20.4799996614456
168,Sean Mannion,2017,1.03999997079372
169,Case Keenum,2014,11.4500002861023
170,Max Hall,2010,0.383333285649617
171,Josh Freeman,2013,7.60999989509583
172,Tyrod Taylor,2017,14.8440000693003
173,Dak Prescott,2019,20.9862499833107
174,Josh Rosen,2018,7.9228571791734
175,Jared Goff,2019,15.4699999913573
176,Philip Rivers,2011,15.7849999666214
177,Brandon Weeden,2012,11.039999850591
178,Taysom Hill,2019,5.19999998249114
179,Tim Tebow,2010,10.9844444808033
180,Alex Smith,2017,19.6786667188009
181,Mitchell Trubisky,2019,13.3880001624425
182,Rex Grossman,2011,11.3184615832109
183,Charlie Batch,2011,1.53000004217029
184,Peyton Manning,2014,19.2925000041723
185,Seneca Wallace,2009,3.16153841981521
186,Brian Hoyer,2009,2.83600001335144
187,Drew Brees,2016,20.7700000107288
188,Jason Campbell,2009,13.6450000554323
189,Matt Cassel,2009,10.7906666994095
190,Andy Dalton,2016,16.289999961853
191,Matt Moore,2016,10.9480001211166
192,Case Keenum,2019,10.3480000637472
193,Ryan Tannehill,2012,11.1787500083447
194,Ryan Fitzpatrick,2010,15.6076923883878
195,Tom Brady,2013,15.4699999988079
196,Aaron Rodgers,2009,21.0599998831749
197,Eli Manning,2019,13.5950000286102
198,Nathan Peterman,2018,3.21000008285046
199,Tony Romo,2009,17.1137501001358
200,Jimmy Garoppolo,2014,2.02999999374151
201,Josh McCown,2011,8.4533330599467
202,Eli Manning,2013,10.6449998468161
203,Curtis Painter,2011,8.03777767221133
204,Tom Brady,2018,17.5187500417233
205,Ryan Tannehill,2014,17.4062499403954
206,Matt Leinart,2012,1.29999995231628
207,Chad Henne,2009,10.3085713641984
208,Caleb Hanie,2011,4.71999996900558
209,Baker Mayfield,2019,14.1987498998642
210,Charlie Frye,2009,7.77999981244405
211,Matt Cassel,2015,6.48399999141693
212,Kellen Clemens,2013,8.33199994564056
213,Matt Hasselbeck,2014,4.23499989137053
214,Josh McCown,2014,11.5400001189925
215,Billy Volek,2009,2.58499998599291
216,Matt Ryan,2015,14.4962500631809
217,Mark Sanchez,2012,7.87466669231653
218,Matt Ryan,2012,19.0537499338388
219,Chad Henne,2010,10.6159999410311
220,Nick Mullens,2018,15.1850001215935
221,Joe Webb,2010,7.41599996089935
222,Devlin Hodges,2019,6.41499991714954
223,Jameis Winston,2018,17.798181923953
224,Luke McCown,2015,1.42499995231628
225,Josh McCown,2013,16.7574999928474
226,Brodie Croyle,2009,5.73333330700795
227,Chase Daniel,2012,0.131249994039536
228,Ben Roethlisberger,2009,17.821333471934
229,Teddy Bridgewater,2015,12.4149998128414
230,Kirk Cousins,2012,10.946666876475
231,EJ Manuel,2016,0.777142862124102
232,Derek Anderson,2010,7.25833332414428
233,Dak Prescott,2016,17.9300000071526
234,Christian Ponder,2011,10.7290910482407
235,Luke McCown,2011,1.03500008583069
236,Case Keenum,2018,13.4312498867512
